Temp,Time,Date,Start_time
26.562,19:03:28,03.07.2015,2.49
26.625,19:03:31,03.07.2015,5.03
26.625,19:03:33,03.07.2015,7.54
26.625,19:03:36,03.07.2015,10.03
26.625,19:03:38,03.07.2015,12.54
26.625,19:03:41,03.07.2015,15.03
26.625,19:03:43,03.07.2015,17.54
26.687,19:03:46,03.07.2015,20.03
26.75,19:06:21,03.07.2015,2.50
26.812,19:06:25,03.07.2015,6.68
26.75,19:06:28,03.07.2015,9.18
26.75,19:06:31,03.07.2015,12.54
26.812,19:06:34,03.07.2015,15.05
26.812,19:06:36,03.07.2015,17.55
27.125,19:03:30,03.07.2015,4.2
27.125,19:03:32,03.07.2015,6.71
27.125,19:03:35,03.07.2015,9.2
27.125,19:03:37,03.07.2015,11.71
27.125,19:03:40,03.07.2015,14.2
27.187,19:03:42,03.07.2015,16.71
27.125,19:03:45,03.07.2015,19.2
27.312,19:06:20,03.07.2015,1.67
27.375,19:06:24,03.07.2015,5
27.375,19:06:27,03.07.2015,8.35
27.25,19:06:30,03.07.2015,11.7
27.25,19:06:31,03.07.2015,12.7
27.312,19:06:33,03.07.2015,14.22
27.312,19:06:35,03.07.2015,16.72